trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
184,False,"{'a': 0.5, 'e': 0.02429953301224014}",20,0,5.944491323676726,"{0: 19, 1: 0, 2: 0, 3: 1, 4: 0}",0
185,False,"{'a': 0.5, 'e': 0.02381354235199534}",20,12,16.060602325762982,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
186,False,"{'a': 0.5, 'e': 0.02333727150495543}",35,13,42.34437360024846,"{0: 22, 1: 0, 2: 0, 3: 0, 4: 0}",1
187,False,"{'a': 0.5, 'e': 0.02287052607485632}",30,8,36.65400330881844,"{0: 22, 1: 0, 2: 0, 3: 0, 4: 0}",1
188,False,"{'a': 0.5, 'e': 0.022413115553359196}",25,12,22.851789666780338,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
189,False,"{'a': 0.5, 'e': 0.021964853242292012}",20,7,22.2091346830685,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
190,False,"{'a': 0.5, 'e': 0.02152555617744617}",25,16,16.86894369831251,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
191,False,"{'a': 0.5, 'e': 0.021095045053897248}",20,12,16.120734014929383,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
192,False,"{'a': 0.5, 'e': 0.020673144152819303}",30,21,17.093104739889778,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
193,False,"{'a': 0.5, 'e': 0.02025968126976292}",20,0,33.62068965546759,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
194,False,"{'a': 0.5, 'e': 0.01985448764436766}",30,22,17.65942669150429,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
195,False,"{'a': 0.5, 'e': 0.019457397891480308}",20,16,8.002605239761458,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
196,False,"{'a': 0.5, 'e': 0.0190682499336507}",20,8,21.48681240299177,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
197,False,"{'a': 0.5, 'e': 0.018686884934977686}",20,6,24.294601079399378,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
198,False,"{'a': 0.5, 'e': 0.01831314723627813}",25,18,6.353059988004844,"{0: 6, 1: 1, 2: 0, 3: 0, 4: 0}",1
199,False,"{'a': 0.5, 'e': 0.017946884291552567}",25,3,31.873947725881717,"{0: 22, 1: 0, 2: 0, 3: 0, 4: 0}",1
200,False,"{'a': 0.5, 'e': 0.017587946605721515}",30,12,36.543143771578386,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
